,firm_name,ceo_name,firm_address,firm_id,civilengineering_qualification,civilengineering_rank,civilengineering_exception,civilengineering_financial_score,civilengineering_technical_score,civilengineering_total_score,asphalt_qualification,asphalt_rank,asphalt_exception,asphalt_financial_score,asphalt_technical_score,asphalt_total_score,bridge_qualification,bridge_rank,bridge_exception,bridge_financial_score,bridge_technical_score,bridge_total_score,landscaping_qualification,landscaping_rank,landscaping_exception,landscaping_financial_score,landscaping_technical_score,landscaping_total_score,builiding_qualification,builiding_rank,builiding_exception,builiding_financial_score,builiding_technical_score,builiding_total_score,woodenbuiliding_qualification,woodenbuiliding_rank,woodenbuiliding_exception,woodenbuiliding_financial_score,woodenbuiliding_technical_score,woodenbuiliding_total_score,electricity_qualification,electricity_rank,electricity_exception,electricity_financial_score,electricity_technical_score,electricity_total_score,airconditioning_qualification,airconditioning_rank,airconditioning_exception,airconditioning_financial_score,airconditioning_technical_score,airconditioning_total_score,cement_qualification,cement_rank,cement_exception,cement_financial_score,cement_technical_score,cement_total_score,prestressed_qualification,prestressed_rank,prestressed_exception,prestressed_financial_score,prestressed_technical_score,prestressed_total_score,slope_qualification,slope_rank,slope_exception,slope_financial_score,slope_technical_score,slope_total_score,painting_qualification,painting_rank,painting_exception,painting_financial_score,painting_technical_score,painting_total_score,maintenance_qualification,maintenance_rank,maintenance_exception,maintenance_financial_score,maintenance_technical_score,maintenance_total_score,dredging_qualification,dredging_rank,dredging_exception,dredging_financial_score,dredging_technical_score,dredging_total_score,grout_qualification,grout_rank,grout_exception,grout_financial_score,grout_technical_score,grout_total_score,stakeout_qualification,stakeout_rank,stakeout_exception,stakeout_financial_score,stakeout_technical_score,stakeout_total_score,well_qualification,well_rank,well_exception,well_financial_score,well_technical_score,well_total_score,prefab_qualification,prefab_rank,prefab_exception,prefab_financial_score,prefab_technical_score,prefab_total_score,machinery_qualification,machinery_rank,machinery_exception,machinery_financial_score,machinery_technical_score,machinery_total_score,communication_qualification,communication_rank,communication_exception,communication_financial_score,communication_technical_score,communication_total_score,substation_qualification,substation_rank,substation_exception,substation_financial_score,substation_technical_score,substation_total_score,bridgemaintenance_qualification,bridgemaintenance_rank,bridgemaintenance_exception,bridgemaintenance_financial_score,bridgemaintenance_technical_score,bridgemaintenance_score,date
1739,鳳工業（株）,齊藤　久克,大阪府大阪市此花区伝法４－３－５９,3120001059616,D, 434,-01,1293,0,1293,C, 160,-01,1235,0,1235,,,,,,,B, 251,-01,841,0,841,,,,,,,○, 309,-01,893,0,893,C, 502,-01,902,0,902,A,  46,-01,1352,1254,2606,○,  85,-01,1064,0,1064,○, 151,-01,1013,0,1013,○, 500,-01,1074,0,1074,○, 418,-01,836,0,836,○,1051,-01,1074,0,1074,,,,,,,○, 121,-01,1074,0,1074,○, 220,-01,836,0,836,,,,,,,○, 201,-01,893,0,893,,,,,,,,,,,,,,,,,,,,,,,,,20211115
1740,（株）大仲造園,大仲　慶,大阪府堺市南区和田７１１－６８,4120101001014,D,2328, ,681,0,681,,,,,,,,,,,,,B, 357, ,782,0,782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,3277, ,681,0,681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20211115
1741,大西建設,大西　要司,京都府宇治市宇治東山７８－１,,D,2198, ,704,0,704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,1230, ,633,0,633,○,1091, ,635,0,635,○,1776, ,654,0,654,,,,,,,○,3470, ,654,0,654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20211115
1742,（株）大野,山形　雅史,大阪府松原市立部５－８－８,9120101025082,D, 784, ,932,0,932,C, 638, ,788,0,788,○, 447, ,795,0,795,,,,,,,D, 536, ,963,0,963,○, 458, ,833,0,833,,,,,,,,,,,,,○, 613, ,756,0,756,○, 459, ,818,0,818,○, 849, ,847,0,847,○, 701, ,743,0,743,○,1307, ,898,0,898,,,,,,,○, 409, ,847,0,847,○, 290, ,795,0,795,,,,,,,○, 270, ,833,0,833,,,,,,,,,,,,,,,,,,,○, 585, ,847,0,847,20211115
1743,大野衛生設備（株）,木下　一彦,福井県大野市東中町３０１,5210001009725,D,1757, ,761,0,761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,1108, ,694,0,694,C, 515, ,866,0,866,,,,,,,,,,,,,,,,,,,,,,,,,○,2858, ,728,0,728,,,,,,,,,,,,,,,,,,,○, 116, ,722,0,722,,,,,,,○, 798, ,730,0,730,,,,,,,,,,,,,,,,,,,20211115
1744,オオノ開發（株）,大野　剛嗣,愛媛県松山市北梅本町甲１８４番地,7500001001080,D, 715, ,959,0,959,,,,,,,,,,,,,,,,,,,D, 236, ,1164,0,1164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○, 322, ,951,0,951,20211115
1745,（株）大野組,大野　正勝,大阪府大阪市住吉区長居東４－４－７,4120001106581,D,2303, ,686,0,686,C,1836, ,563,0,563,,,,,,,,,,,,,D,1806, ,726,0,726,,,,,,,,,,,,,,,,,,,○,1360, ,563,0,563,,,,,,,,,,,,,,,,,,,○,3661, ,612,0,612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,1164, ,611,0,611,20211115
1746,大野塗装工業（有）,大野　鉄雄,大分県大分市大字下郡字高畑１７３８－３,1320002001558,D,2580, ,625,0,625,,,,,,,,,,,,,,,,,,,D,2070, ,689,0,689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,1008, ,693,0,693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,1085, ,693,0,693,20211115
1747,オーバーシーズ・ベクテル・インコーポレーテツド,宮崎　丈彦,東京都千代田区丸の内２－２－３　丸の内仲通リビルヂング,3700150000321,D, 422, ,1314,0,1314,,,,,,,,,,,,,,,,,,,D, 110, ,1393,0,1393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20211115
1748,（株）大浜組,大濱　博幸,大阪府東大阪市布市町４－３－２０,7122001001421,D, 642, ,990,0,990,,,,,,,,,,,,,,,,,,,D, 683, ,915,0,915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○, 829, ,852,0,852,,,,,,,○,1549, ,852,0,852,,,,,,,,,,,,,○, 285, ,798,0,798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20211115
1749,（株）大林,大林　信吉,兵庫県加古川市野口町長砂１１６４,4140001042651,D,1061, ,863,0,863,C, 592, ,798,0,798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,1529, ,856,0,856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20211115
1750,大菱電気工業（株）,山中　仁,長崎県佐世保市俵町２４－２９,2310001005213,D,1917, ,740,0,740,C,1078, ,720,0,720,○, 658, ,721,0,721,,,,,,,,,,,,,,,,,,,B, 176, ,981,916,1897,B, 158, ,928,837,1765,○, 813, ,720,0,720,○, 809, ,735,0,735,○,1466, ,735,0,735,○, 821, ,720,0,720,○,1508, ,860,0,860,○, 406, ,720,0,720,○, 750, ,735,0,735,○, 515, ,721,0,721,,,,,,,,,,,,,○, 510, ,880,0,880,○, 121, ,928,990,1918,○, 130, ,860,651,1511,○, 542, ,860,0,860,20211115
1751,（有）大広建設,松下　勝信,兵庫県姫路市林田町久保１９７,8140002047869,D,  55, ,646,931,1577,C,1797, ,587,0,587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,1334, ,584,0,584,○,1152, ,582,0,582,○,1867, ,601,0,601,,,,,,,○, 911, ,625,681,1306,,,,,,,○, 968, ,601,0,601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,1173, ,601,0,601,20211115
1752,大廣建設（株）,福田　浩也,兵庫県加古川市平岡町新在家２－２６７－１１,2140001042653,D,1511, ,793,0,793,C,1638, ,637,0,637,,,,,,,,,,,,,D,1971, ,706,0,706,○,1344, ,632,0,632,,,,,,,,,,,,,,,,,,,,,,,,,○,1680, ,684,0,684,○,1459, ,584,0,584,○,3261, ,684,0,684,○, 785, ,587,0,587,○, 867, ,684,0,684,○, 876, ,585,0,585,,,,,,,○, 797, ,632,0,632,,,,,,,,,,,,,,,,,,,○,1095, ,684,0,684,20211115
1753,（株）大前工務店,大前　慶幸,広島県広島市西区己斐本町２－１２－３０,6240001001793,D,1784, ,757,0,757,C,1273, ,694,0,694,,,,,,,,,,,,,D, 774, ,888,0,888,○, 437, ,839,0,839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,2515, ,758,0,758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20211115
1754,（株）オオミ建設,橋本　安順,滋賀県彦根市野口町２８３－２,3160001008131,D,  85, ,881,679,1560,B, 197, ,902,869,1771,,,,,,,,,,,,,,,,,,,○, 979, ,720,0,720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,1517, ,858,0,858,○, 517, ,695,0,695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20211115
1755,（株）大峯組,大峯　正弘,和歌山県田辺市新屋敷町８０番地の１０,6170001008581,D,2081, ,719,0,719,,,,,,,,,,,,,,,,,,,D,1516, ,763,0,763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,1276, ,648,0,648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20211115
1756,大宮建設（株）,川東　勝俊,大阪府大阪市鶴見区放出東２－３－２４－６０２,5120001001583,D,1932, ,738,0,738,C, 892, ,744,0,744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,3263, ,683,0,683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20211115
1757,（有）大村造園,福田　一範,福井県福井市日光２丁目２４号２４番地,2210002000776,D,1897, ,743,0,743,,,,,,,,,,,,,A, 123, ,844,776,1620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20211115
1758,（株）大盛工業,関　忠夫,東京都千代田区神田多町２－１　神田進興ビル８階,9011801002605,D, 562, ,1078,0,1078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20211115
1759,大家組,大家　佳重美,和歌山県伊都郡かつらぎ町滝１５４６,,D, 259, ,762,706,1468,,,,,,,,,,,,,,,,,,,D,2080, ,688,0,688,○,1128, ,691,0,691,,,,,,,,,,,,,,,,,,,,,,,,,○, 350, ,723,785,1508,,,,,,,○,3110, ,701,0,701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20211115
1760,（株）大山工業,大山　匡之,愛知県津島市神守町字砂田２６,7180001069234,D,2606,-01,617,0,617,,,,,,,○, 999,-01,546,0,546,,,,,,,D,2429,-01,612,0,612,○,1434,-01,567,0,567,,,,,,,,,,,,,,,,,,,○,1171,-01,546,0,546,○,1922,-01,532,0,532,,,,,,,○,3796,-01,546,0,546,,,,,,,○, 985,-01,546,0,546,○, 835,-01,620,0,620,,,,,,,○, 862,-01,545,0,545,,,,,,,,,,,,,,,,,,,○,1200,-01,546,0,546,20211115
1761,大山砕石（株）,西村　彰,京都府舞鶴市字喜多小字宮崎３１－１０３,8130001043291,D, 243, ,820,657,1477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,2668, ,745,0,745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20211115
1762,大倭殖産（株）,杉本　朝順,奈良県奈良市藤ノ木台１－２－１５,8150001000423,D, 105, ,794,756,1550,C, 149, ,653,687,1340,,,,,,,,,,,,,C,  86, ,991,1144,2135,○, 551, ,807,0,807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,1340, ,634,0,634,○,2855, ,728,0,728,,,,,,,,,,,,,,,,,,,,,,,,,○, 328, ,807,0,807,,,,,,,,,,,,,,,,,,,,,,,,,20211115
1763,（株）オオヨドコーポレーション,淀　雅和,大阪府大東市浜町８番２２号,3122001016068,D, 939, ,888,0,888,,,,,,,○, 556, ,753,0,753,B, 494, ,747,0,747,D, 228, ,1177,0,1177,,,,,,,C, 825, ,789,0,789,,,,,,,,,,,,,,,,,,,○, 971, ,819,0,819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20211115
1764,ＡＬＡＮＤ（株）,佐藤　彰展,大阪府大阪市生野区巽北１－９－８,6120001171335,D,2814,-01,439,0,439,C,1891,-01,438,0,438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,1393,-01,437,0,437,,,,,,,○,1934,-01,437,0,437,,,,,,,○,3872,-01,437,0,437,,,,,,,○,1002,-01,437,0,437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20211115
1765,オーロン物産（株）,木村　純己,和歌山県和歌山市梶取３２２番地,3170001000566,D,2681, ,588,0,588,,,,,,,,,,,,,,,,,,,D,2081, ,687,0,687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,1437, ,597,0,597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20211115
1766,大輪建設（株）,大橋　良之,滋賀県大津市別保２－９－４８,4160001001267,D,1922, ,739,0,739,,,,,,,,,,,,,,,,,,,C, 319, ,951,750,1701,○, 532, ,811,0,811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20211115
1767,（株）岡工務店,岡　栄治,兵庫県神戸市兵庫区水木通４－１－１,2140001012689,D,2190, ,705,0,705,,,,,,,,,,,,,,,,,,,D, 241, ,1159,0,1159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20211115
1768,ＯＫＡＣＯＮ（株）,岡　彦吉,愛知県名古屋市名東区大針１－２８,3180001047961,D, 722, ,955,0,955,C,1768, ,598,0,598,,,,,,,,,,,,,D,  67, ,796,706,1502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20211115
1769,（株）岡崎建設,岡崎　明夫,兵庫県加古川市加古川町粟津５５９－６,7140001042657,D, 193, ,756,746,1502,C, 847, ,750,0,750,,,,,,,B, 702, ,704,0,704,D,1643, ,747,0,747,○, 938, ,727,0,727,,,,,,,C,1295, ,718,0,718,○, 655, ,745,0,745,,,,,,,○,1585, ,708,0,708,○, 926, ,706,0,706,○,2569, ,753,0,753,,,,,,,,,,,,,,,,,,,,,,,,,○, 625, ,700,0,700,,,,,,,,,,,,,,,,,,,○, 828, ,781,0,781,20211115
1770,岡三リビック（株）,小川　勝利,東京都港区港南１－８－２７,9010401040684,D, 996, ,875,0,875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20211115
1771,（株）岡田工務店,岡田　満,奈良県宇陀市大宇陀白鳥居４４,3150001009717,D,  17, ,894,700,1594,B, 153, ,869,962,1831,○, 427, ,803,0,803,,,,,,,D,1101, ,827,0,827,,,,,,,,,,,,,C,1239, ,726,0,726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○, 699, ,767,0,767,,,,,,,,,,,,,,,,,,,20211115
1772,（株）岡田造園,岡田　充功,兵庫県神戸市北区大沢町市原１９番３,5140001014872,D,2046, ,724,0,724,,,,,,,,,,,,,A, 118, ,858,772,1630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,2951, ,719,0,719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20211115
1773,（株）岡徳建設,岡田　優子,奈良県天理市三昧田町元東方９２番地４,6150001006406,D, 816, ,924,0,924,C, 616, ,794,0,794,,,,,,,,,,,,,D,1154, ,819,0,819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20211115
1774,（株）オカトモ,下元　公美,神奈川県川崎市川崎区小田５－１７－３,9020001072243,D,2551,-01,633,0,633,,,,,,,,,,,,,,,,,,,D,2500,-01,566,0,566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,1506,-01,551,0,551,○,3664,-01,609,0,609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20211115
1775,岡野建設工業（株）,今中　大介,兵庫県神戸市西区伊川谷町別府３４－３,8140001004549,D, 814, ,924,0,924,C, 647, ,786,0,786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○, 627, ,752,0,752,○, 708, ,756,0,756,○,1099, ,796,0,796,,,,,,,○,2090, ,796,0,796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20211115
1776,（株）オカムラ,中村　雅行,神奈川県横浜市西区北幸１－４－１天理ビル,3020001030157,D, 614, ,1014,0,1014,,,,,,,,,,,,,,,,,,,D,  65, ,1505,0,1505,,,,,,,C, 275, ,1075,0,1075,C, 150, ,1097,0,1097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○, 279, ,1265,0,1265,○, 294, ,1126,0,1126,,,,,,,,,,,,,20211115
1777,（株）岡村建設,岡村　健二,京都府京都市左京区静市市原町５３１－１９,2130001006097,D,  26, ,906,684,1590,,,,,,,,,,,,,,,,,,,D, 643, ,926,0,926,○, 379, ,863,0,863,,,,,,,,,,,,,,,,,,,○, 602, ,780,0,780,○, 844, ,848,0,848,,,,,,,○,1543, ,853,0,853,,,,,,,○, 503, ,813,0,813,○, 415, ,747,0,747,,,,,,,○, 231, ,863,0,863,○, 786, ,732,0,732,,,,,,,,,,,,,,,,,,,20211115
1778,岡村工業（株）,岡村　文義,山口県山口市駅通り２－５－１１,9250001013307,D,2146, ,710,0,710,C,1786, ,593,0,593,,,,,,,,,,,,,D,2271, ,653,0,653,,,,,,,,,,,,,,,,,,,○,1329, ,587,0,587,○,1124, ,616,0,616,○,1823, ,636,0,636,,,,,,,○,3340, ,673,0,673,○, 802, ,564,0,564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20211115
1779,岡本海洋建設（株）,津島　弘明,兵庫県姫路市広畑区高浜町３丁目７８番地,6140001058167,D,  41, ,859,723,1582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○, 449, ,708,0,708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20211115
1780,岡本建設（株）,岡本　透,兵庫県宍粟市一宮町上野田２５３,5140001038970,D,1734, ,763,0,763,C,1572, ,651,0,651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,1662, ,692,0,692,○,1326, ,639,0,639,○,3195, ,692,0,692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20211115
1781,（株）岡本設備,岡本　数博,奈良県北葛城郡上牧町米山台５－５－５,7150001012460,D,1202, ,837,0,837,,,,,,,,,,,,,,,,,,,D,1863, ,719,0,719,,,,,,,,,,,,,B, 188, ,843,844,1687,○,1174, ,648,0,648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20211115
1782,オカモト鐵工（株）,草壁　正明,福井県福井市上森田１－１０２－２,2210001004794,D, 828, ,921,0,921,,,,,,,○,  48, ,1062,1048,2110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○, 126, ,1147,788,1935,,,,,,,,,,,,,○, 260, ,1001,0,1001,20211115
1783,オカモト電気（株）,林　一寿,兵庫県西脇市高松町４６７,4140001075379,D,2066, ,721,0,721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,  71, ,816,786,1602,B, 228, ,774,771,1545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○, 711, ,710,0,710,○, 632, ,780,0,780,,,,,,,20211115
1784,岡安設備工業（有）,岡安　伸二,京都府舞鶴市字寺内１６－４,5130002034796,D, 442, ,799,479,1278,,,,,,,,,,,,,,,,,,,D,2136, ,678,0,678,,,,,,,,,,,,,B,  92, ,853,1077,1930,,,,,,,,,,,,,,,,,,,,,,,,,○,3175, ,694,0,694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○, 801, ,729,0,729,,,,,,,,,,,,,,,,,,,20211115
1785,岡山電設（株）,岡山　秀行,京都府綾部市里町大坂３３－２,9130001041699,D, 413, ,780,546,1326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B, 168, ,902,1007,1909,C,1158, ,736,0,736,,,,,,,,,,,,,,,,,,,,,,,,,○, 788, ,857,604,1461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○, 697, ,713,0,713,○, 590, ,801,0,801,○, 762, ,798,0,798,20211115
1786,（株）小川組,小川　富大,奈良県吉野郡下市町新住１４１－１,8150001015982,D, 370, ,770,603,1373,C,1223, ,701,0,701,,,,,,,,,,,,,D,1874, ,718,0,718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,1176, ,668,0,668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20211115
1787,（株）小川建設,田下　宏彰,東京都新宿区四谷１－４,7011101004064,D, 565,-01,1071,0,1071,,,,,,,,,,,,,,,,,,,B,  90,-01,1375,986,2361,,,,,,,,,,,,,,,,,,,,,,,,,○, 172,-01,983,0,983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20211115
1788,（株）小川電気商会,小川　督,京都府大字井手小字北猪ノ阪６,1130001037795,D,1768, ,760,0,760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,  特,-04,886,1158,2044,B, 248, ,741,713,1454,,,,,,,,,,,,,,,,,,,,,,,,,○,2275, ,780,0,780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○, 785, ,682,0,682,○, 636, ,780,0,780,,,,,,,20211115
1789,（株）小川電設,小川　元,兵庫県尼崎市西難波町２ー４ー２７,8140001048125,D,2030, ,726,0,726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C, 368, ,973,0,973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○, 582, ,765,0,765,○, 342, ,944,0,944,,,,,,,20211115
1790,（株）オキ・コーポレーション,飯田　正信,神奈川県川崎市川崎区殿町２丁目３番１５号,1020001072250,D, 741, ,945,0,945,,,,,,,,,,,,,,,,,,,D, 940, ,856,0,856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20211115
1791,（株）沖潮開発,沖潮　吉績,京都府京都市左京区岩倉南池田町７７,6130001006102,D,1330, ,821,0,821,,,,,,,,,,,,,,,,,,,D, 818, ,880,0,880,○, 319, ,889,0,889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20211115
1792,（株）沖田工務店,沖田　勤,大阪府寝屋川市木田元宮２－７－１,3120001147536,D,2310, ,685,0,685,,,,,,,,,,,,,,,,,,,D, 939, ,856,0,856,○, 373, ,866,0,866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,3252, ,685,0,685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20211115
1793,荻野建設（株）,荻野　憲夫,兵庫県丹波市春日町黒井３９１,1140001040971,D, 109, ,811,737,1548,,,,,,,,,,,,,,,,,,,D, 703, ,909,0,909,○, 332, ,882,0,882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,2828, ,730,0,730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20211115
1794,（株）オクダ,奥田　隆英,奈良県高市郡明日香村大字飛鳥５１,3150001010377,D,1464, ,801,0,801,,,,,,,,,,,,,,,,,,,C, 332, ,922,756,1678,○, 293, ,900,0,900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○, 322, ,778,0,778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20211115
1795,（有）奥田組,西岡　和希,京都府南丹市園部町城南町ハサマ１７,2130002028545,D, 298, ,738,701,1439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,1692, ,681,0,681,,,,,,,○,3273, ,681,0,681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20211115
1796,（株）奥田建設,奥田　和好,京都府京都市伏見区横大路三栖山城屋敷町１０８林屋ビル５,9130001029001,D,2775, ,527,0,527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20211115
